Rank,Series,Publisher,Circulation
1,One Piece,Shueisha,600000000
2,Golgo 13,Shogakukan,300000000
3,Detective Conan,Shogakukan,270000000
4,Dragon Ball,Shueisha,260000000
5,Naruto,Shueisha,250000000
6,Kimetsu no Yaiba,Shueisha,220000000
7,Slam Dunk,Shueisha,185000000
8,Kochikame,Shueisha,157200000
9,Jujutsu Kaisen,Shueisha,150000000
10,Crayon Shin-chan,Futabasha,148000000
11,Attack on Titan,Kodansha,140000000
12,Oishinbo,Shogakukan,135000000
13,Bleach,Shueisha,130000000
14,JoJo's Bizarre Adventure,Shueisha,120000000
15,Kingdom,Shueisha,110000000
16,My Hero Academia,Shueisha,100000000
17,Baki,Akita Shoten,100000000
18,Hajime no Ippo,Kodansha,100000000
19,Astro Boy,Koubunsha,100000000
20,The Kindaichi Case Files,Kodansha,100000000
21,Fist of the North Star,Shueisha,100000000
22,Touch,Shogakukan,100000000
23,Sazae-san,Asahi Shimbun,86000000
24,Hunter x Hunter,Shueisha,84000000
25,Vagabond,Kodansha,82000000
26,Tokyo Revengers,Kodansha,80000000
27,Fullmetal Alchemist,Square Enix,80000000
28,Romance of the Three Kingdoms,Ushio Shuppansha,80000000
29,Captain Tsubasa,Shueisha,78000000
30,Kinnikuman,Shueisha,77000000
31,Gintama,Shueisha,73000000
32,Fairy Tail,Kodansha,72000000
33,Rurouni Kenshin,Shueisha,72000000
34,Haikyuu!!,Shueisha,70000000
35,Major,Shogakukan,66660000
36,Boys Over Flowers,Shueisha,61000000
37,Berserk,Hakusensha,60000000
38,King of Minami,Nihon Bungeisha,60000000
39,Prince of Tennis,Shueisha,60000000
40,Rokudenashi Blues,Shueisha,60000000
41,Initial D,Kodansha,56000000
42,The Seven Deadly Sins,Kodansha,55000000
43,Bad Boys,Shonen Gahosha,55000000
44,Ranma 1/2,Shogakukan,55000000
45,H2,Shogakukan,55000000
46,Super Radical Gag Family,Akita Shoten,51000000
47,Saint Seiya,Shueisha,50000000
48,Fisherman Sanpei,Kodansha,50000000
49,Glass Mask,Hakusensha,50000000
50,Nana,Shueisha,50000000
51,Inuyasha,Shogakukan,50000000
52,City Hunter,Shueisha,50000000
53,Shoot!,Kodansha,50000000
54,Great Teacher Onizuka,Kodansha,50000000
55,Yu Yu Hakusho,Shueisha,50000000
56,Cobra,Shueisha,50000000
57,Devilman,Kodansha,50000000
58,Doraemon,Shogakukan,50000000
59,Dokaben,Akita Shoten,48000000
60,Kosaku Shima,Kodansha,47000000
61,Dragon Quest: The Adventure of Dai,Shueisha,47000000
62,Shizukanaru Don,Jitsugyo no Nihonsha,46000000
63,Sailor Moon,Kodansha,46000000
64,Crows,Akita Shoten,46000000
65,Black Jack,Akita Shoten,45640000
66,Dear Boys,Kodansha,45000000
67,GTO: The Early Years,Kodansha,45000000
68,Tokyo Ghoul,Shueisha,44000000
69,Yu-Gi-Oh!,Shueisha,42300000
70,The Promised Neverland,Shueisha,41000000
71,Be-Bop High School,Kodansha,40100000
72,Dragon Ball Series (excl. main),Shueisha,40000000
73,Ace of Diamond,Kodansha,40000000
74,Crest of the Royal Family,Akita Shoten,40000000
75,Kyo Kara Ore Wa!,Shogakukan,40000000
76,Nodame Cantabile,Kodansha,38800000
77,Shaman King,Shueisha,38000000
78,Dokaben: Pro Yakyuu-hen,Akita Shoten,37200000
79,20th Century Boys,Shogakukan,36000000
80,Cooking Papa,Kodansha,36000000
81,Maji!,Akita Shoten,35000000
82,Itazura na Kiss,Shueisha,35000000
83,The Chef,Nihon Bungeisha,35000000
84,Worst,Akita Shoten,35000000
85,Urusei Yatsura,Shogakukan,35000000
86,Dr. Slump,Shueisha,35000000
87,Spy x Family,Shueisha,34000000
88,One-Punch Man,Shueisha,34000000
89,Salaryman Kintaro,Shueisha,34000000
90,3x3 Eyes,Kodansha,33000000
91,Kimi ni Todoke,Shueisha,33000000
92,Chibi Maruko-chan,Shueisha,32500000
93,The Silent Service,Kodansha,32000000
94,Black Butler,Square Enix,32000000
95,Ushio to Tora,Shogakukan,31000000
96,Kuroko's Basketball,Shueisha,31000000
97,Shonan Bakusozoku,Shonen Gahosha,30000000
98,Fruits Basket,Hakusensha,30000000
99,Jarinko Chie,Futabasha,30000000
100,Jingi,Akita Shoten,30000000
