Rank,Title,Volume,Yearly sales
1,One Piece,#108,1552215
2,Jujutsu Kaisen,#25,1542345
3,One Piece,#109,1467881
4,Jujutsu Kaisen,#26,1416480
5,Jujutsu Kaisen,#27,1191959
6,One Piece,#110,1123762
7,Spy x Family,#13,1046181
8,Jujutsu Kaisen,#28,982900
9,Spy x Family,#14,812167
10,Hunter x Hunter,#38,734441
11,My Hero Academia,#40,717757
12,Frieren: Beyond Journey's End,#12,685795
13,Kingdom,#71,623144
14,Frieren: Beyond Journey's End,#13,615901
15,My Hero Academia,#41,607661
16,Kingdom,#72,589083
17,Kaiju No. 8,#11,548378
18,Kaiju No. 8,#12,507239
19,Kingdom,#73,504450
20,That Time I Got Reincarnated as a Slime,#25,491864
21,Kaiju No. 8,#13,460511
22,Blue Lock,#27,451315
23,Oshi no Ko,#14,449870
24,The Apothecary Diaries,#13,445237
25,That Time I Got Reincarnated as a Slime,#26,443205
26,Chainsaw Man,#16,424370
27,Don't Call it Mystery,#14,411084
28,Blue Lock,#28,406685
29,Oshi no Ko,#15,398878
30,One Piece,#107,397184
31,World Trigger,#27,387478
32,Oshi no Ko,#13,385585
33,That Time I Got Reincarnated as a Slime,#27,382352
34,Detective Conan,#105,370081
35,Blue Lock,#29,360485
36,The Apothecary Diaries,#14,359701
37,Jujutsu Kaisen,#24,359616
38,Kingdom,#70,342649
39,Frieren: Beyond Journey's End,#11,334167
40,Frieren: Beyond Journey's End,#10,334039
41,Chainsaw Man,#17,332977
42,Frieren: Beyond Journey's End,#7,329427
43,Frieren: Beyond Journey's End,#9,329199
44,Frieren: Beyond Journey's End,#8,327132
45,Frieren: Beyond Journey's End,#1,325878
46,Dungeon Meshi,#14,324109
47,Dungeon Meshi,#13,323627
48,Frieren: Beyond Journey's End,#6,307854
49,Blue Lock,#30,303860
50,One-Punch Man,#30,303859
51,Frieren: Beyond Journey's End,#2,302102
52,JoJo's Bizarre Adventure Part 9: The JoJoLands,#2,300655
53,Frieren: Beyond Journey's End,#5,299323
54,Frieren: Beyond Journey's End,#3,294242
55,Frieren: Beyond Journey's End,#4,291129
56,Kaiju No. 8,#14,289072
57,My Hero Academia,#39,282477
58,One-Punch Man,#31,274214
59,Detective Conan,#106,270784
60,My Dress-Up Darling,#13,269692
61,Chainsaw Man,#18,265201
62,The Apothecary Diaries,#12,260574
63,Family Restaurant Iko.,#1,257147
64,JoJo's Bizarre Adventure Part 9: The JoJoLands,#3,252402
65,Toilet-Bound Hanako-kun,#21,247437
66,My Happy Marriage,#5,245963
67,The Strange House,#2,241557
68,Spy x Family,#12,241135
69,Blue Lock,#31,239635
70,Hikaru ga Shinda Natsu,#4,239549
71,The Apothecary Diaries,#10,238830
72,Zatch Bell!! 2,#3,238293
73,Black Butler,#34,234875
74,The Apothecary Diaries,#9,233509
75,The Apothecary Diaries,#8,229690
76,Jujutsu Kaisen,#23,229343
77,The Apothecary Diaries,#11,226019
78,Kagurabachi,#1,224803
79,Chiikawa,#6,223260
80,The Apothecary Diaries,#7,222822
81,Record of Ragnarok,#20,220410
82,The Apothecary Diaries,#6,220375
83,Ao Ashi,#34,218723
84,The Apothecary Diaries,#4,218213
85,The Apothecary Diaries,#5,217939
86,Daemons of the Shadow Realm,#7,217740
87,Onna no Sono no Hoshi,#4,215629
88,Record of Ragnarok,#21,212745
89,Dr. Stone,#27,207822
90,Kaiju No. 8,#10,207525
91,Gokurakugai,#3,204298
92,Ao Ashi,#35,203805
93,The Strange House,#3,203169
94,Blue Box,#13,202622
95,Welcome to Demon School! Iruma-kun,#35,202176
96,Dragon Ball Super,#22,201945
97,Toilet-Bound Hanako-kun,#22,200991
