Title,Score,Release_Date,Episodes,Genres,Studios,Era_Category
Sousou no Frieren,9.26,2023-09-29,28,"['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Shounen']",['Madhouse'],All-Time
Re:Zero kara Hajimeru Isekai Seikatsu 4th Season,9.17,2026-04-08,19,"['Drama', 'Fantasy', 'Isekai', 'Psychological', 'Suspense', 'Time Travel']",['White Fox'],Both Eras
Fullmetal Alchemist: Brotherhood,9.11,2009-04-05,64,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Military', 'Shounen']",['Bones'],All-Time
Steel Ball Run: JoJo no Kimyou na Bouken,9.11,2026-03-19,0,"['Action', 'Adventure', 'Historical', 'Mystery', 'Racing', 'Seinen', 'Shounen', 'Supernatural']",['David Production'],Both Eras
Chainsaw Man Movie: Reze-hen,9.07,2025-09-19,1,"['Action', 'Fantasy', 'Gore', 'Shounen', 'Urban Fantasy']",['MAPPA'],All-Time
Steins;Gate,9.07,2011-04-06,24,"['Drama', 'Psychological', 'Sci-Fi', 'Suspense', 'Time Travel']",['White Fox'],All-Time
Gintama: The Final,9.05,2021-01-08,1,"['Action', 'Comedy', 'Drama', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",['Bandai Namco Pictures'],All-Time
Gintama°,9.05,2015-04-08,51,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",['Bandai Namco Pictures'],All-Time
Shingeki no Kyojin Season 3 Part 2,9.05,2019-04-29,10,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']",['Wit Studio'],All-Time
Hunter x Hunter (2011),9.03,2011-10-02,148,"['Action', 'Adventure', 'Fantasy', 'Shounen']",['Madhouse'],All-Time
Ginga Eiyuu Densetsu,9.02,1988-01-08,110,"['Adult Cast', 'Drama', 'Military', 'Sci-Fi', 'Space']","['K-Factory', 'Kitty Film Mitaka Studio']",All-Time
Gintama',9.02,2011-04-04,51,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",['Sunrise'],All-Time
Gintama': Enchousen,9.02,2012-10-04,13,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",['Sunrise'],All-Time
One Piece Fan Letter,9.01,2024-10-20,1,"['Action', 'Adventure', 'Fantasy', 'Shounen']",['Toei Animation'],All-Time
Bleach: Sennen Kessen-hen,8.98,2022-10-11,13,"['Action', 'Adventure', 'Shounen', 'Supernatural']",['Studio Pierrot'],All-Time
Gintama.,8.98,2017-01-09,12,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",['Bandai Namco Pictures'],All-Time
Kaguya-sama wa Kokurasetai: Ultra Romantic,8.95,2022-04-09,13,"['Comedy', 'Romance', 'School', 'Seinen']",['A-1 Pictures'],All-Time
Clannad: After Story,8.93,2008-10-03,24,"['Drama', 'Romance']",['Kyoto Animation'],All-Time
