Title,Score,Release_Date,Volumes,Genres,Authors,Era_Category
Berserk,9.46,1989-08-25,0,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Gore', 'Horror', 'Military', 'Psychological', 'Seinen']","['Kentarou Miura', 'Studio Gaga']",Both Eras
JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.34,2004-01-19,24,"['Action', 'Adventure', 'Historical', 'Mystery', 'Seinen', 'Shounen', 'Supernatural']",['Hirohiko Araki'],Both Eras
Vagabond,9.27,1998-09-03,37,"['Action', 'Adventure', 'Award Winning', 'Historical', 'Samurai', 'Seinen']","['Takehiko Inoue', 'Eiji Yoshikawa']",Both Eras
One Piece,9.21,1997-07-22,0,"['Action', 'Adventure', 'Fantasy', 'Shounen']",['Eiichiro Oda'],Both Eras
Guimi Zhi Zhu,9.19,2020-05-01,18,"['Action', 'Fantasy', 'Isekai', 'Mystery', 'Suspense', 'Urban Fantasy']",['Ai Qianshui de Wuzei'],All-Time
Monster,9.16,1994-12-05,18,"['Adult Cast', 'Award Winning', 'Drama', 'Mystery', 'Psychological', 'Seinen']",['Naoki Urasawa'],Both Eras
Slam Dunk,9.09,1990-09-18,31,"['Award Winning', 'School', 'Shounen', 'Sports', 'Team Sports']",['Takehiko Inoue'],Both Eras
Vinland Saga,9.09,2005-04-13,29,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Historical', 'Seinen']",['Makoto Yukimura'],Both Eras
The Greatest Estate Developer,9.09,2021-07-30,0,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation']","['Back-kyung Moon', 'Hyunsoo Kim']",All-Time
Omniscient Reader's Viewpoint,9.05,2022-01-20,20,"['Action', 'Adventure', 'Fantasy', 'Urban Fantasy']","['sing N song', 'BlackBox']",Both Eras
Fullmetal Alchemist,9.04,2001-07-12,27,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Military', 'Shounen']",['Hiromu Arakawa'],Both Eras
Grand Blue,9.04,2014-04-07,0,"['Adult Cast', 'Comedy', 'Gag Humor', 'Seinen']","['Kenji Inoue', 'Kimitake Yoshioka']",Both Eras
Kingdom,9.02,2006-01-26,0,"['Action', 'Award Winning', 'Historical', 'Military', 'Seinen']",['Yasuhisa Hara'],Both Eras
Tian Guan Cifu,9.02,2021-02-04,6,"['Action', 'Adventure', 'Boys Love', 'Fantasy', 'Historical', 'Mythology']",['Mo Xiang Tong Xiu'],Both Eras
Houseki no Kuni,9.0,2012-10-25,13,"['Action', 'Anthropomorphic', 'Drama', 'Fantasy', 'Seinen']",['Haruko Ichikawa'],Both Eras
Real,8.98,1999-10-28,0,"['Award Winning', 'Drama', 'Psychological', 'Seinen', 'Sports', 'Team Sports']",['Takehiko Inoue'],Both Eras
Oyasumi Punpun,8.97,2007-03-15,13,"['Drama', 'Psychological', 'Seinen', 'Slice of Life']",['Inio Asano'],Both Eras
Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,8.96,2012-01-21,9,"['Drama', 'Fantasy', 'Mystery', 'Shounen', 'Supernatural']","['Kei Natsumi', 'Ryukishi07']",Both Eras
Uma Musume Cinderella Gray,8.96,2020-06-11,23,"['Drama', 'Seinen', 'Slice of Life', 'Sports']",['Taiyou Kuzumi'],Both Eras
Ashita no Joe,8.95,1968-01-01,20,"['Combat Sports', 'Drama', 'Shounen', 'Slice of Life', 'Sports']","['Ikki Kajiwara', 'Tetsuya Chiba']",Both Eras
20th Century Boys,8.93,1999-09-27,22,"['Award Winning', 'Drama', 'Historical', 'Mystery', 'Psychological', 'Sci-Fi', 'Seinen']",['Naoki Urasawa'],Both Eras
Yotsuba to!,8.92,2003-03-21,0,"['Award Winning', 'Childcare', 'Comedy', 'Iyashikei', 'Slice of Life']",['Kiyohiko Azuma'],Both Eras
Monogatari Series: First Season,8.92,2006-11-01,6,"['Action', 'Comedy', 'Mystery', 'Romance', 'Supernatural', 'Vampire']","['ISIN NISIO', 'VOFAN']",All-Time
Monogatari Series: Second Season,8.92,2010-10-27,6,"['Comedy', 'Drama', 'Mystery', 'Supernatural', 'Vampire']","['ISIN NISIO', 'VOFAN']",All-Time
Mikkakan no Koufuku,8.9,2013-12-25,1,['Drama'],['Sugaru Miaki'],All-Time
Mo Dao Zu Shi,8.89,2016-12-08,4,"['Action', 'Adventure', 'Boys Love', 'Fantasy', 'Historical', 'Mystery', 'Mythology', 'Reincarnation']",['Mo Xiang Tong Xiu'],Both Eras
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.88,2015-05-19,28,"['Award Winning', 'Comedy', 'Romance', 'School', 'Seinen']",['Aka Akasaka'],Both Eras
Monogatari Series: Final Season,8.87,2012-09-28,6,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']","['ISIN NISIO', 'VOFAN']",All-Time
Kusuriya no Hitorigoto,8.87,2014-08-29,0,"['Drama', 'Medical', 'Mystery']","['Natsu Hyuuga', 'Touko Shino']",Both Eras
Sousou no Frieren,8.87,2020-04-28,0,"['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Shounen']","['Kanehito Yamada', 'Tsukasa Abe']",Both Eras
GTO,8.86,1996-12-11,25,"['Action', 'Award Winning', 'Comedy', 'Delinquents', 'Drama', 'Ecchi', 'School', 'Shounen', 'Workplace']",['Tooru Fujisawa'],Both Eras
3-gatsu no Lion,8.86,2007-07-13,0,"['Award Winning', 'Drama', 'Seinen', 'Strategy Game']",['Chica Umino'],Both Eras
Haikyuu!!,8.86,2012-02-20,45,"['Award Winning', 'School', 'Shounen', 'Sports', 'Team Sports']",['Haruichi Furudate'],Both Eras
Koe no Katachi,8.86,2013-08-07,7,"['Award Winning', 'Drama', 'Shounen']",['Yoshitoki Ooima'],Both Eras
Re:Zero kara Hajimeru Isekai Seikatsu,8.86,2014-01-23,0,"['Drama', 'Fantasy', 'Isekai', 'Psychological', 'Suspense', 'Time Travel']","['Tappei Nagatsuki', 'Shinichirou Ootsuka']",All-Time
86,8.86,2017-02-10,0,"['Action', 'Drama', 'Military', 'Sci-Fi']","['Shirabi', 'Asato Asato']",All-Time
Kokou no Hito,8.84,2007-11-01,17,"['Award Winning', 'Drama', 'Psychological', 'Seinen', 'Sports']",['Shinichi Sakamoto'],Both Eras
On the Way to Meet Mom,8.83,2024-11-25,0,"['Adventure', 'Childcare', 'Fantasy']",['Gomyang'],All-Time
Akatsuki no Yona,8.83,2009-08-05,48,"['Adventure', 'Fantasy', 'Romance', 'Shoujo']",['Mizuho Kusanagi'],Both Eras
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.83,2015-01-25,33,"['Fantasy', 'Isekai', 'Reincarnation']","['You Shiina', 'Miya Kazuki']",All-Time
Nana,8.82,2000-05-26,21,"['Adult Cast', 'Award Winning', 'Drama', 'Love Polygon', 'Music', 'Romance', 'Shoujo']",['Ai Yazawa'],Both Eras
Ookami to Koushinryou,8.82,2006-02-10,0,"['Adult Cast', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Romance', 'Supernatural']","['Isuna Hasekura', 'Juu Ayakura']",Both Eras
Mushoku Tensei: Isekai Ittara Honki Dasu,8.82,2014-01-23,26,"['Fantasy', 'Isekai', 'Reincarnation']","['Rifujin na Magonote', 'Sirotaka']",All-Time
Kaze no Tani no Nausicaä,8.81,1982-10-09,7,"['Action', 'Adventure', 'Award Winning', 'Fantasy']",['Hayao Miyazaki'],Both Eras
No Home,8.81,2018-12-31,0,"['School', 'Slice of Life']",['Wanan'],All-Time
Dungeon Meshi,8.8,2014-02-15,14,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy', 'Gourmet', 'Seinen']",['Ryouko Kui'],Both Eras
Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari,8.79,2014-08-08,5,"['Drama', 'Horror', 'Mystery', 'Supernatural']","['Keika Hanada', 'Moyataro']",All-Time
Medalist,8.79,2020-05-25,0,"['Award Winning', 'Drama', 'Seinen', 'Sports']",['Tsurumaikada'],Both Eras
Veil,8.79,2019-11-15,0,"['Historical', 'Romance', 'Slice of Life']",['Ikumi Fukuda'],Both Eras
